0.02,-5e-06,1,1,1
0.04,-5e-06,1,1,1
0.06,-5e-06,1,1,1
0.08,-5e-06,1,1,1
0.1,-5e-06,1,1,1
0.12,-5e-06,1,1,1
0.14,-5e-06,1,1,1
0.16,-5e-06,1,1,1
0.18,-5e-06,1,1,1
0.2,-5e-06,1,1,1
0.22,-5e-06,1,1,1
0.24,-5.23438e-06,1,0.999999,0.999998
0.26,-3.82813e-06,0.999998,0.999996,0.999993
0.28,-3.59375e-06,0.999997,0.999994,0.999989
0.3,-4.53125e-06,0.999995,0.999989,0.999979
0.32,1.02344e-05,0.999991,0.999982,0.999965
0.34,-4.76563e-06,0.999978,0.999957,0.999915
0.36,-5.70313e-06,0.999953,0.999908,0.99982
0.38,-3.82813e-06,0.999921,0.999845,0.999696
0.4,2.80469e-05,0.999845,0.999694,0.999403
0.42,-3.75781e-05,0.999768,0.999543,0.999107
0.44,-6.64063e-06,0.999641,0.99929,0.998615
0.46,-9.19531e-05,0.999478,0.998969,0.99799
0.48,-8.67969e-05,0.999209,0.998438,0.996956
0.5,-8.23438e-05,0.99892,0.997869,0.995849
0.52,0.000104453,0.99849,0.997022,0.994205
0.54,-3.47656e-05,0.997927,0.995913,0.992052
0.56,-7.57813e-05,0.997266,0.994612,0.989537
0.58,9.97656e-05,0.996473,0.993054,0.98653
0.6,-9.24219e-05,0.995397,0.990946,0.982476
0.62,-0.000215469,0.994223,0.988649,0.978074
0.64,-0.000191563,0.99276,0.985789,0.972601
0.66,-0.000232109,0.990836,0.982048,0.965514
0.68,-0.000160156,0.988781,0.978067,0.958022
0.7,-0.000404141,0.98614,0.972957,0.948429
0.72,0.000423203,0.983239,0.967355,0.937958
0.74,0.000473594,0.98008,0.961313,0.926842
0.76,0.000475937,0.976024,0.953612,0.912881
0.78,-0.000640859,0.971058,0.944218,0.895929
0.8,-0.000151953,0.96563,0.934058,0.877939
0.82,-0.000303594,0.958813,0.921431,0.855987
0.84,-0.000499297,0.951092,0.907433,0.832381
0.86,0.000155078,0.941435,0.89019,0.804078
0.88,-0.000500938,0.9288,0.867979,0.768421
0.9,0.000167969,0.915918,0.846231,0.735546
0.92,-0.000378828,0.898127,0.816639,0.691704
0.94,-0.000456875,0.876087,0.781834,0.643888
0.96,-0.0002525,0.848224,0.738819,0.586536
0.98,0.000710781,0.812253,0.686275,0.521901
1,-0.000512891,0.773284,0.632269,0.460209
1.02,-0.000570078,0.726236,0.568989,0.391023
1.04,-0.000460859,0.676697,0.505576,0.326599
1.06,0.000569219,0.624819,0.441754,0.265364
1.08,-0.000171172,0.576156,0.3849,0.214518
1.1,-0.00142414,0.533036,0.335771,0.172713
1.12,0.000970234,0.488494,0.287382,0.134155
1.14,0.000265937,0.452524,0.249264,0.1052
1.16,-0.00351453,0.422167,0.220178,0.0860004
1.18,-0.00154461,0.397006,0.195295,0.0692411
1.2,0.000733516,0.372896,0.174128,0.0569239
1.22,0.00120016,0.354228,0.157266,0.047133
1.24,-4.39063e-05,0.335401,0.141394,0.038466
1.26,0.00127211,0.322401,0.130616,0.0330241
1.28,0.0025675,0.306523,0.118501,0.0274818
1.3,0.00159602,0.295084,0.110305,0.0241388
1.32,-0.00234031,0.287161,0.104099,0.021375
1.34,0.000698125,0.278513,0.0978756,0.0188997
1.36,0.000500078,0.272757,0.093639,0.017144
1.38,0.000834297,0.264544,0.0883999,0.0154261
1.4,0.0001,0.259234,0.0847313,0.0141378
1.42,0.00228273,0.25313,0.0809034,0.0129011
1.44,-0.00241578,0.243961,0.075364,0.0113495
1.46,0.000211797,0.240683,0.0732118,0.0105822
1.48,0.0018707,0.238482,0.0718676,0.0102552
1.5,-0.00170563,0.231947,0.0679828,0.00913152
1.52,-0.00102242,0.226952,0.0651188,0.00840884
1.54,-0.00222688,0.224509,0.0635865,0.00795382
1.56,0.00243812,0.222187,0.0622862,0.00765105
1.58,-0.000166719,0.217524,0.0599148,0.00712282
1.6,0.000929453,0.212666,0.057434,0.00660844
1.62,0.00164406,0.210799,0.0562529,0.00631686
1.64,0.00196234,0.207596,0.0546416,0.0059267
1.66,-0.000460391,0.20643,0.053933,0.00574495
1.68,-0.00105102,0.202894,0.0520506,0.00536718
1.7,4.32812e-05,0.201869,0.0512242,0.00509086
1.72,0.00162602,0.199288,0.0502659,0.00503963
1.74,0.0020425,0.196539,0.0488892,0.0047496
1.76,0.00202797,0.19491,0.0480449,0.0045419
1.78,0.000754141,0.192679,0.0470084,0.00439502
1.8,0.000450391,0.19044,0.0459073,0.00415768
1.82,-0.00167727,0.188488,0.0448401,0.00393913
1.84,0.000399297,0.187901,0.0445723,0.00389181
1.86,-0.00284727,0.186079,0.0436764,0.00373119
1.88,-0.00134234,0.184426,0.0429553,0.0035974
1.9,-0.00113914,0.183374,0.0425905,0.00359687
1.92,-0.00244133,0.181561,0.04176,0.00345866
1.94,0.00131008,0.180977,0.0415426,0.00342321
1.96,0.000325234,0.178799,0.0406011,0.00329629
1.98,0.00168953,0.176861,0.0395092,0.00304213
2,0.0016,0.175595,0.039031,0.00300226
