
0.2,-5e-06,1,1,1
0.4,-3.30078e-06,0.999867,0.999735,0.999473
0.6,-4.71289e-05,0.995412,0.990878,0.981968
0.8,-0.00025959,0.965469,0.932546,0.871154
1,0.00134131,0.691746,0.511411,0.308841
1.2,-0.00123102,0.185099,0.0436674,0.00388571
1.4,-0.00151402,0.126899,0.0205413,0.000850958
1.6,-0.00239604,0.106983,0.0145524,0.000424409
1.8,0.00155371,0.0937509,0.0111826,0.000248877
2,0.0010873,0.0864846,0.00954145,0.000184993
2.2,-0.00345658,0.0830856,0.00875049,0.000151934
2.4,-0.00102793,0.0794162,0.00800786,0.000126746
2.6,-0.00141682,0.0764681,0.00741681,0.000108604
2.8,0.00128436,0.0749525,0.00713566,0.000102338
3,0.00231982,0.073279,0.0068062,9.2198e-05
3.2,-0.00125621,0.0694166,0.00611738,7.32525e-05
3.4,0.000305723,0.0693396,0.00607195,7.22068e-05
3.6,0.00260805,0.0688794,0.00594641,6.78753e-05
3.8,-0.000473809,0.0679707,0.00587709,6.98835e-05
4,-0.00193895,0.0673155,0.00581207,6.86409e-05
4.2,-0.00190988,0.0643836,0.00527246,5.48482e-05
4.4,3.0625e-05,0.0660686,0.00551159,5.96005e-05
4.6,0.00147033,0.0655376,0.00546122,6.03241e-05
4.8,-0.00170645,0.065253,0.00538827,5.69719e-05
5,-0.000766074,0.0656403,0.00547111,5.88993e-05
5.2,-0.00212041,0.064249,0.00527321,5.63385e-05
5.4,0.0014926,0.0632917,0.00507024,5.03346e-05
5.6,0.00469387,0.0657442,0.00541675,5.56e-05
5.8,-0.00187701,0.0619712,0.00490465,4.9084e-05
6,-0.000991016,0.0620746,0.00490224,4.67028e-05
6.2,-0.0020832,0.0618526,0.0049351,5.10678e-05
6.4,-0.000685859,0.0643268,0.00523573,5.49465e-05
6.6,0.00412311,0.0628613,0.00504525,5.12681e-05
6.8,-0.000320703,0.0636017,0.00518517,5.50893e-05
7,-0.00183898,0.0621422,0.00488739,4.69613e-05
7.2,-0.00242152,0.0597399,0.00455225,4.17846e-05
7.4,-0.000996348,0.0619495,0.00485549,4.67334e-05
7.6,0.0025985,0.0609002,0.00474524,4.50634e-05
7.8,-0.00245908,0.0593412,0.00445757,3.85828e-05
8,-0.00120535,0.0610222,0.00477332,4.66035e-05
8.2,0.00102971,0.061541,0.00481149,4.58371e-05
8.4,0.00100527,0.0592261,0.00446538,3.99692e-05
8.6,0.00274023,0.0595363,0.00455564,4.22365e-05
8.8,0.00178223,0.0598601,0.00455315,4.07426e-05
9,-0.0023068,0.0603359,0.00469346,4.57072e-05
9.2,-0.000523145,0.0585706,0.00437241,3.81378e-05
9.4,-0.00101551,0.0600368,0.00463023,4.3812e-05
9.6,-0.000380938,0.0604922,0.00467557,4.42053e-05
9.8,-0.00162395,0.0579338,0.00430544,3.77116e-05
10,0.00245459,0.0601962,0.00462718,4.39927e-05
10.2,0.00174689,0.0597497,0.00453408,4.06026e-05
10.4,-0.000841309,0.0586472,0.00434874,3.67796e-05
10.6,-0.00304396,0.0609141,0.00464842,4.08864e-05
10.8,0.000816484,0.059671,0.00455239,4.1515e-05
11,-0.00431973,0.0593867,0.00446686,3.91748e-05
11.2,-0.00133865,0.0574145,0.00420493,3.54203e-05
11.4,0.000271797,0.0589045,0.00442892,3.9126e-05
11.6,-0.00186412,0.0596684,0.00456084,4.15195e-05
11.8,0.00129021,0.0577306,0.00423164,3.53208e-05
12,0.00089541,0.0584876,0.00433419,3.69959e-05
12.2,0.00350664,0.0588106,0.00440158,3.82416e-05
12.4,0.000187305,0.0606241,0.00467388,4.25554e-05
